"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","Z-Swing%","O-Swing%","RE24","wOBA","playerid"
"Aaron Judge","NYY","157","570","696","177","87","28","0","62","133","131","111","19","175","6","5","0","14","16","3",".311","67.6%","26.8%","82.07",".458","15640"
"Yordan Alvarez","HOU","135","470","561","144","76","29","2","37","95","97","78","9","106","6","7","0","12","1","1",".306","66.8%","27.5%","43.31",".427","19556"
"Paul Goldschmidt","STL","151","561","651","178","102","41","0","35","106","115","79","1","141","5","4","0","7","7","0",".317","61.7%","27.6%","69.51",".419","9218"
"Jose Altuve","HOU","141","527","604","158","91","39","0","28","103","57","66","2","87","10","1","0","13","18","1",".300","65.0%","31.4%","36.25",".397","5417"
"Freddie Freeman","LAD","159","612","708","199","129","47","2","21","117","100","84","12","102","5","7","0","6","13","3",".325","76.1%","31.3%","58.80",".393","5361"
"Manny Machado","SDP","150","578","644","172","102","37","1","32","100","102","63","10","133","1","2","0","12","9","1",".298","77.0%","34.2%","45.37",".382","11493"
"Nolan Arenado","STL","148","557","620","163","90","42","1","30","73","103","52","3","72","7","4","0","15","5","3",".293","68.0%","36.1%","30.99",".381","9777"
"Austin Riley","ATL","159","615","693","168","89","39","2","38","90","93","57","1","168","17","4","0","13","2","0",".273","77.3%","34.5%","20.62",".377","18360"
"Juan Soto","- - -","153","524","664","127","73","25","2","27","93","62","135","6","96","4","0","0","12","6","2",".242","59.1%","19.9%","26.91",".376","20123"
"Mookie Betts","LAD","142","572","639","154","76","40","3","35","117","82","55","0","104","8","4","0","8","12","2",".269","69.6%","26.0%","37.49",".373","13611"
"Rafael Devers","BOS","141","555","614","164","94","42","1","27","84","88","50","11","114","6","3","0","14","3","1",".295","77.3%","40.3%","35.98",".373","17350"
"Shohei Ohtani","LAA","157","586","666","160","90","30","6","34","90","95","72","14","161","5","3","0","6","11","9",".273","74.5%","32.0%","32.24",".370","19755"
"Nathaniel Lowe","TEX","157","593","645","179","123","26","3","27","74","76","48","2","147","4","0","0","10","2","2",".302","75.0%","34.9%","25.38",".368","19566"
"Julio Rodriguez","SEA","132","511","560","145","89","25","3","28","84","75","40","4","145","8","1","0","7","25","7",".284","71.4%","37.1%","35.21",".366","23697"
"Yandy Diaz","TBR","137","473","558","140","98","33","0","9","71","57","78","2","60","6","1","0","10","3","3",".296","65.7%","23.1%","26.25",".366","16578"
"Pete Alonso","NYM","160","597","685","162","95","27","0","40","95","131","67","16","128","12","9","0","17","5","1",".271","74.2%","36.0%","40.05",".366","19251"
"Jeff McNeil","NYM","148","533","589","174","125","39","1","9","73","62","40","1","61","11","5","0","6","4","0",".326","78.9%","33.8%","21.61",".365","15362"
"Andres Gimenez","CLE","146","491","557","146","100","26","3","17","66","69","34","4","112","25","3","4","9","20","3",".297","70.3%","40.8%","29.47",".364","19950"
"Xander Bogaerts","BOS","150","557","631","171","118","38","0","15","84","73","57","2","118","10","7","0","14","8","2",".307","66.0%","31.9%","19.23",".363","12161"
"Jose Ramirez","CLE","157","601","685","168","90","44","5","29","90","126","69","20","82","6","9","0","5","20","7",".280","67.9%","32.3%","42.19",".363","13510"
"Carlos Correa","MIN","136","522","590","152","105","24","1","22","70","64","61","2","121","3","4","0","18","0","1",".291","64.3%","30.8%","20.09",".362","14162"
"Taylor Ward","LAA","135","495","564","139","92","22","2","23","73","65","60","0","120","4","5","0","5","5","3",".281","66.1%","23.6%","19.28",".362","17548"
"Jose Abreu","CHW","157","601","679","183","128","40","0","15","85","75","62","2","110","12","4","0","19","0","0",".304","66.5%","33.6%","14.99",".361","15676"
"Alex Bregman","HOU","155","548","656","142","81","38","0","23","93","93","87","1","77","11","10","0","18","1","2",".259","69.5%","21.8%","22.40",".358","17678"
"Starling Marte","NYM","118","466","505","136","91","24","5","16","76","63","26","0","97","13","0","0","18","18","9",".292","68.5%","36.0%","25.02",".355","9241"
"Kyle Schwarber","PHI","155","577","669","126","56","21","3","46","100","94","86","3","200","4","2","0","10","10","1",".218","62.1%","25.0%","22.61",".355","16478"
"J.T. Realmuto","PHI","139","504","562","139","86","26","5","22","75","84","41","1","119","12","5","0","7","21","1",".276","69.2%","35.0%","17.41",".354","11739"
"Brandon Nimmo","NYM","151","580","673","159","106","30","7","16","102","64","71","0","116","16","3","3","9","3","2",".274","66.0%","26.1%","28.93",".353","12927"
"Anthony Rizzo","NYY","130","465","548","104","50","21","1","32","77","75","58","6","101","23","2","0","13","6","5",".224","65.6%","32.1%","17.23",".352","3473"
"George Springer","TOR","133","513","583","137","86","22","4","25","89","76","54","1","100","7","5","0","7","14","2",".267","78.9%","30.1%","22.68",".352","12856"
"Vladimir Guerrero Jr.","TOR","160","638","706","175","108","35","0","32","90","97","58","6","116","6","4","0","26","8","3",".274","73.7%","34.2%","20.87",".351","19611"
"Trea Turner","LAD","160","652","708","194","130","39","4","21","101","100","45","1","131","3","6","0","9","27","3",".298","74.5%","36.4%","28.14",".350","16252"
"Brandon Drury","- - -","138","518","568","136","75","31","2","28","87","87","38","0","126","8","4","0","8","2","3",".263","64.8%","32.4%","26.01",".350","11615"
"Luis Arraez","MIN","144","547","603","173","133","31","1","8","88","49","50","2","43","3","3","0","6","4","4",".316","63.1%","28.6%","20.96",".350","18568"
"Bryan Reynolds","PIT","145","542","614","142","92","19","4","27","74","62","56","6","141","14","2","0","13","7","3",".262","74.5%","35.6%","14.79",".349","19326"
"Will Smith","LAD","137","508","578","132","79","26","3","24","68","87","56","4","96","10","4","0","11","1","0",".260","66.2%","25.4%","23.26",".349","19197"
"Teoscar Hernandez","TOR","131","499","535","133","72","35","1","25","71","77","34","0","152","2","0","0","18","6","3",".267","71.6%","33.6%","9.76",".348","13066"
"Kyle Tucker","HOU","150","544","609","140","81","28","1","30","71","107","59","4","95","1","2","0","11","25","4",".257","84.0%","30.2%","33.09",".348","18345"
"Bo Bichette","TOR","159","652","697","189","121","43","1","24","91","93","41","0","155","2","2","0","21","13","8",".290","80.5%","38.6%","18.17",".347","19612"
"Alejandro Kirk","TOR","139","470","541","134","101","19","0","14","59","63","63","2","58","4","4","0","11","0","0",".285","61.9%","26.3%","20.79",".347","22581"
"Hunter Renfroe","MIL","125","474","522","121","68","23","1","29","62","72","39","1","121","4","3","2","11","1","1",".255","67.6%","34.4%","1.04",".347","15464"
